namespace,name,kind,description,properties,example_json,url
CFX.InformationSystem.DataTransfer,FileTransferRequest,Request,"** NOTE: ADDED in CFX 1.4 ** Sent by an endpoint to another endpoint to initiate a file transfer. File transfers may proceed either from the initiator/requester to the recipient (PUSH Mode), OR from recipient to initiator/requester (PULL Mode).","FileTransferRequest: Default constructor | File: For file transfers initiated at the source (FileTransferDirection.Push), contains information about the file to be transferred. For file transfers initiated by the destination (FileTransferDirection.Pull), this property should be NULL. For FileTransferMode.InBand, this structure will contain the file payload (data) itself. For FileTransferMode.OutOfBand, this structure will contain a secure link/URL that can be used by the destination to obtain the file payload data. | FileLocation: An optional property that may be used to indicate the location to the file on the source system. This need not be a physical path. It could be as virtual path, as in the case of a web or FTP server, or file share. Alternatively, it need not represent a traditional path at all. For example, it could be a lookup key to locate the file within a NoSQL database environment. The format of this property is dependent on the nature of the source system. | FileTitle: The title of the file, EXCLUDING any path information, but INCLUDING file extension when appropriate. | TransferDirection: Specifies the direction of transfer. File transfer may proceed from requestor to responder (Push), or from responder to requester (Pull). In Push mode, the file token is contained within the request itself. In Pull mode, the file token is contained within the response message. | TransferMode: Specifies the mode of transfer. File data may be transferred within the CFX messages themselves (In-Band), or transferred via a separate secure protocol (Out-of-Band), such as HTTPS, SFTP, etc. Direct, in-band file transfer is not recommended for larger data files. Many AMQP message broker platforms limit the maximum total message size of an AMQP message. Microsoft's Azure message bus, for example, limits messages to 256KB for a standard subscription, and 1MB for a premium subscription. RabbitMQ recommends limiting messages to 128MB or less. Use OutOfBand transfer for larger file sizes.","{
  ""FileTitle"": ""IPC_2581_DPMX_DesignData_Example1.xml"",
  ""FileLocation"": ""\\DesignDataRoot\\Folder1"",
  ""TransferDirection"": ""Pull"",
  ""TransferMode"": ""OutOfBand"",
  ""File"": null
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_DataTransfer_FileTransferRequest.htm
CFX.InformationSystem.DataTransfer,FileTransferResponse,Response,"** NOTE: ADDED in CFX 1.4 ** Sent by an endpoint in response to a . File transfers may proceed either from the initiator/requester to the recipient (PUSH Mode), OR from recipient to initiator/requester (PULL Mode).","FileTransferResponse: Default constructor | File: For file transfers initiated at the destination (FileTransferDirection.Pull), contains information about the file to be transferred. For file transfers initiated by the source (FileTransferDirection.Push), this property should be NULL. For FileTransferMode.InBand, this structure will contain the file payload (data) itself. For FileTransferMode.OutOfBand, this structure will contain a secure link/URL that can be used by the destination to obtain the file payload data. | FileLocation: An optional property that may be used to indicate the location to the file on the source system. This need not be a physical path. It could be as virtual path, as in the case of a web or FTP server, or file share. Alternatively, it need not represent a traditional path at all. For example, it could be a lookup key to locate the file within a NoSQL database environment. The format of this property is dependent on the nature of the source system. | FileTitle: The title of the file, EXCLUDING any path information, but INCLUDING file extension when appropriate. | Result: Result of the request | TransferMode: Specifies the mode of transfer. File data may be transferred within the CFX messages themselves (In-Band), or transferred via a separate secure protocol (Out-of-Band), such as HTTPS, SFTP, etc. Direct, in-band file transfer is not recommended for larger data files. Many AMQP message broker platforms limit the maximum total message size of an AMQP message. Microsoft's Azure message bus, for example, limits messages to 256KB for a standard subscription, and 1MB for a premium subscription. RabbitMQ recommends limiting messages to 128MB or less. Use OutOfBand transfer for larger file sizes.","{
  ""FileTitle"": ""IPC_2581_DPMX_DesignData_Example1.xml"",
  ""FileLocation"": ""\\DesignDataRoot\\Folder1"",
  ""TransferDirection"": ""Pull"",
  ""TransferMode"": ""OutOfBand"",
  ""File"": null
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_DataTransfer_FileTransferResponse.htm
CFX.InformationSystem.OperatorValidation,ValidateOperatorRequest,Request,Request that an operator take action now or be responsible for a process endpoint. The opposite endpoint can accept or reject this. Can be used if the MES has advanced user management. Multiple operators must be requested separately.,ValidateOperatorRequest:  | Operator: A structure which defines the Operator.,"{
  ""Operator"": {
    ""OperatorIdentifier"": ""42b7a5cc-3bbd-4010-8a01-1c5851b9a2a3"",
    ""ActorType"": ""Human"",
    ""LastName"": ""Smith"",
    ""FirstName"": ""Bill"",
    ""LoginName"": ""bill.smith@domain1.com""
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_OperatorValidation_ValidateOperatorRequest.htm
CFX.InformationSystem.OperatorValidation,ValidateOperatorResponse,Response,Response to a request that the operator's login was successful or not.,ValidateOperatorResponse:  | Result: The result of the request,"{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": ""OK""
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_OperatorValidation_ValidateOperatorResponse.htm
CFX.InformationSystem.ProductionScheduling,WorkOrdersScheduled,Event/Notification,Sent when a Work Order (or Work Order sub-batch) has been scheduled to be executed at a particular work area at a particular time.,WorkOrdersScheduled: Default constructor. | ScheduledWorkOrders: A list of Work Orders that have been scheduled.,"{
  ""ScheduledWorkOrders"": [
    {
      ""WorkOrderIdentifier"": {
        ""WorkOrderId"": ""WO1122334455"",
        ""Batch"": null
      },
      ""Scheduler"": {
        ""OperatorIdentifier"": ""BADGE4486"",
        ""ActorType"": ""Human"",
        ""LastName"": ""Doe"",
        ""FirstName"": ""John"",
        ""LoginName"": ""john.doe@domain1.com""
      },
      ""WorkArea"": ""SMT Line 1"",
      ""StartTime"": ""2018-08-02T11:00:00"",
      ""EndTime"": ""2018-08-02T15:00:00"",
      ""ReservedResources"": [
        ""L1PRINTER1"",
        ""L1PLACER1"",
        ""L1PLACER2"",
        ""L1OVEN1""
      ],
      ""ReservedTools"": [
        {
          ""UniqueIdentifier"": ""UID23890430"",
          ""Name"": ""TorqueWrench_123""
        }
      ],
      ""ReservedOperators"": [
        {
          ""OperatorIdentifier"": ""BADGE489435"",
          ""ActorType"": ""Human"",
          ""LastName"": ""Smith"",
          ""FirstName"": ""Joseph"",
          ""LoginName"": ""joseph.smith@abcdrepairs.com""
        }
      ],
      ""ReservedMaterials"": [
        {
          ""UniqueIdentifier"": ""UID23849854385"",
          ""InternalPartNumber"": ""PN4452"",
          ""Quantity"": 0.0
        },
        {
          ""UniqueIdentifier"": ""UID23849854386"",
          ""InternalPartNumber"": ""PN4452"",
          ""Quantity"": 0.0
        },
        {
          ""UniqueIdentifier"": ""UID23849854446"",
          ""InternalPartNumber"": ""PN3358"",
          ""Quantity"": 0.0
        }
      ]
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_ProductionScheduling_WorkOrdersScheduled.htm
CFX.InformationSystem.ProductionScheduling,WorkOrdersUnscheduled,Event/Notification,Sent when a previously scheduled Work Order (or Work Order sub-batch) has been unscheduled at a particular work area at a particular time.,WorkOrdersUnscheduled: Default constructor. | ScheduledWorkOrderIdentifiers: A list of Work Orders that have been scheduled.,"{
  ""ScheduledWorkOrderIdentifiers"": [
    {
      ""WorkOrderIdentifier"": {
        ""WorkOrderId"": ""WO1122334455"",
        ""Batch"": null
      },
      ""WorkArea"": ""SMT Line 1""
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_ProductionScheduling_WorkOrdersUnscheduled.htm
CFX.InformationSystem.TopicValidation,ValidateTopicRequest,Request,** NOTE: ADDED in CFX 2.0 **Request that a specific topic needs to be validated before continuing the process / operations.,ValidateTopicRequest:  | ValidationTopic: An enum for the specific validation topic of the request. | ValidationTopicData: A structure which defines the ValidationTopicData fo the request,"{
  ""ValidationTopic"": ""Tools"",
  ""ValidationTopicData"": {
    ""ValidationTopicData"": [
      {
        ""UniqueIdentifier"": ""T00001"",
        ""Name"": ""Tool 1""
      },
      {
        ""UniqueIdentifier"": ""T00002"",
        ""Name"": ""Tool 2""
      }
    ]
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_TopicValidation_ValidateTopicRequest.htm
CFX.InformationSystem.TopicValidation,ValidateTopicResponse,Response,"** NOTE: ADDED in CFX 2.0 **Response to a request that a specific topic (e.g., tool, material carrier, recipe, material) was successfull validated or not.",ValidateTopicResponse:  | Result: The result of the request | ValidationTopic: An enum for the specific validation topic of the request.,"{
  ""ValidationTopic"": ""Tools"",
  ""Result"": [
    {
      ""Result"": ""Success"",
      ""ResultCode"": 0,
      ""Message"": ""Ok""
    },
    {
      ""Result"": ""Failed"",
      ""ResultCode"": 99,
      ""Message"": ""Not Ok""
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_TopicValidation_ValidateTopicResponse.htm
CFX.InformationSystem.UnitValidation,ValidateUnitsRequest,Request,"Sent from a process endpoint in order to validate the identifier of the next production unit. Process endpoints, where configured, should send this request before allowing the next unit to enter the process.","ValidateUnitsRequest: Default constructor | HermesIdentifier: The Hermes BoardId of the carrier, a PCB panel or single production unit. If a single production unit is moving through the process, this would be the actual unique identifier of that individual unition unit. However, if multiple production units are moving through the process as a group (as in the case of a PCB panel, a fixture, or any sort of carrier), this would be an identifier that represents the entire group of units, such as a carrier UID, a PCB panel UID, etc. HermesIdentifier will be transfered between all machines which support Hermes. The PrimaryIdentifier is containing a barcode information. Both can be transferred. Remarks Espcially when the line does not support the Hermes standard in the hole line, the Hermes Identifier can be unique only in the a part of the line. The Primary Identifier can be used to correlate the parts of hermes sublines to correlate this data as well. | Lane: ** NOTE: ADDED in CFX 1.2 ** Lane identifier. Null if no specific lane | PrimaryIdentifier: Identification used for the carrier (or the unit itself if no carrier) | Units: List of structures that identify each specific instance of production unit that arrived (could be within a carrier or panel). | Validations: List of validations to be performed”. Options are: UnitRouteValidation"", ""UnitStatusValidation""","{
  ""Validations"": [
    ""UnitRouteValidation"",
    ""UnitStatusValidation""
  ],
  ""PrimaryIdentifier"": ""CARRIER2342"",
  ""Units"": [
    {
      ""UnitIdentifier"": ""CARRIER5566"",
      ""PositionNumber"": 1,
      ""PositionName"": ""CIRCUIT1"",
      ""X"": 50.45,
      ""Y"": 80.66,
      ""Rotation"": 0.0,
      ""FlipX"": false,
      ""FlipY"": false
    },
    {
      ""UnitIdentifier"": ""CARRIER5566"",
      ""PositionNumber"": 2,
      ""PositionName"": ""CIRCUIT2"",
      ""X"": 70.45,
      ""Y"": 80.66,
      ""Rotation"": 90.0,
      ""FlipX"": false,
      ""FlipY"": false
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_UnitValidation_ValidateUnitsRequest.htm
CFX.InformationSystem.UnitValidation,ValidateUnitsResponse,Response,"Sent from a process endpoint in order to validate the identifier of the next production unit. Process endpoints, where configured, should send this request before allowing the next unit to enter the process.",ValidateUnitsResponse: Default constructor | PrimaryResult: Overall result of the validation request | Result: Result of the request | ValidationResults: Individual results of the validation request (for multiple units in a carrier or PCB Panel),"{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": null
  },
  ""PrimaryResult"": {
    ""UniqueIdentifier"": ""CARRIER5566"",
    ""PositionNumber"": 0,
    ""Result"": ""Passed"",
    ""FailureCode"": 0,
    ""Message"": ""OK""
  },
  ""ValidationResults"": [
    {
      ""UniqueIdentifier"": ""CARRIER5566"",
      ""PositionNumber"": 1,
      ""Result"": ""Passed"",
      ""FailureCode"": 0,
      ""Message"": ""OK""
    },
    {
      ""UniqueIdentifier"": ""CARRIER5566"",
      ""PositionNumber"": 2,
      ""Result"": ""Passed"",
      ""FailureCode"": 0,
      ""Message"": ""OK""
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_UnitValidation_ValidateUnitsResponse.htm
CFX.InformationSystem.WorkOrderManagement,WorkOrderQuantityUpdated,Event/Notification,Sent when the status of a Work Order (or Work Order sub-batch) has been updated.,"WorkOrderQuantityUpdated:  | NewQuantity: The new quantity of the Work Order (or Work Order sub-batch) | PreviousQuantity: The previous quantity of the Work Order (or Work Order sub-batch), if known. | WorkOrderIdentifier: The Identifier of the relevant Work Order or Work Order sub-batch","{
  ""WorkOrderIdentifier"": {
    ""WorkOrderId"": ""WO1122334455"",
    ""Batch"": null
  },
  ""NewQuantity"": 250.0,
  ""PreviousQuantity"": 220.0
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_WorkOrderManagement_WorkOrderQuantityUpdated.htm
CFX.InformationSystem.WorkOrderManagement,WorkOrderStatusUpdated,Event/Notification,Sent when the status of a Work Order (or Work Order sub-batch) has been updated.,WorkOrderStatusUpdated:  | NewStatus: The new current status of the Work Order (or Work Order sub-batch) | PreviousStatus: The previous status of the Work Order (or Work Order sub-batch) | WorkOrderIdentifier: The Identifier of the relevant Work Order or Work Order sub-batch,"{
  ""WorkOrderIdentifier"": {
    ""WorkOrderId"": ""WO1122334455"",
    ""Batch"": null
  },
  ""NewStatus"": ""Scheduled"",
  ""PreviousStatus"": ""ApprovedAndPending""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_WorkOrderManagement_WorkOrderStatusUpdated.htm
CFX.InformationSystem.WorkOrderManagement,WorkOrdersCreated,Event/Notification,Sent when a new production Work Order is created by an information system (such as ERP or MES).,WorkOrdersCreated: Default constructor. | NewOrders: The new Work Order.,"{
  ""NewOrders"": [
    {
      ""WorkOrderIdentifier"": {
        ""WorkOrderId"": ""WO1122334455"",
        ""Batch"": null
      },
      ""Description"": ""Production Order for PCB Assembly"",
      ""Status"": ""AwaitingApproval"",
      ""Router"": ""PCB Assembly Process"",
      ""RouterRevision"": ""A"",
      ""LotNumber"": ""LOT4865"",
      ""Customer"": null,
      ""Department"": null,
      ""CreatedDate"": ""2018-08-01T13:46:15.5391201-04:00"",
      ""StartDate"": ""2018-09-09T00:00:00"",
      ""DateRequired"": ""2018-09-15T17:00:00"",
      ""PartNumber"": ""1122-3344"",
      ""PartRevision"": ""B"",
      ""Quantity"": 220.0,
      ""UnitOfMeasure"": null,
      ""DependsOn"": null
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_WorkOrderManagement_WorkOrdersCreated.htm
CFX.InformationSystem.WorkOrderManagement,WorkOrdersDeleted,Event/Notification,Sent when a Work Order (or sub-batch of a Work Order) has been deleted within an information system (such as ERP or MES).,WorkOrdersDeleted: Default constructor. | WorkOrderIdentifiers: The identifier of the Work Order that has been deleted.,"{
  ""WorkOrderIdentifiers"": [
    {
      ""WorkOrderId"": ""WO1122334455"",
      ""Batch"": null
    },
    {
      ""WorkOrderId"": ""WO9988776666"",
      ""Batch"": ""Batch1""
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_WorkOrderManagement_WorkOrdersDeleted.htm
CFX.InformationSystem.WorkOrderManagement,WorkOrdersUpdated,Event/Notification,A Work Order (or Work Order sub-batch) has been modified / updated within an information systsem (such as ERP or MES).,WorkOrdersUpdated: Default constructor. | UpdatedOrders: The new details of the updated Work Order (or Work Order sub-batch),"{
  ""UpdatedOrders"": [
    {
      ""WorkOrderIdentifier"": {
        ""WorkOrderId"": ""WO1122334455"",
        ""Batch"": null
      },
      ""Description"": ""Production Order for PCB Assembly"",
      ""Status"": ""AwaitingApproval"",
      ""Router"": ""PCB Assembly Process"",
      ""RouterRevision"": ""A"",
      ""LotNumber"": ""LOT4896"",
      ""Customer"": null,
      ""Department"": null,
      ""CreatedDate"": ""2018-08-01T13:46:15.8331267-04:00"",
      ""StartDate"": ""2018-09-09T00:00:00"",
      ""DateRequired"": ""2018-09-15T17:00:00"",
      ""PartNumber"": ""1122-5555"",
      ""PartRevision"": ""C"",
      ""Quantity"": 220.0,
      ""UnitOfMeasure"": null,
      ""DependsOn"": null
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_InformationSystem_WorkOrderManagement_WorkOrdersUpdated.htm
CFX.Maintenance,GetResourceInformationRequest,Request,"** NOTE: ADDED in CFX 1.3 ** Requests detailed resource information about a single endpoint, as specified by its CFX Handle.",GetResourceInformationRequest:  | CFXHandle: The handle of the endpoint about which the sender wishes to obtain information.,"{
  ""CFXHandle"": ""SMT.SIPLACE_SX4.10000000""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Maintenance_GetResourceInformationRequest.htm
